,0
2016-10-12,0.001955926490536713
2016-10-13,-0.0007690028409796009
2016-10-14,0.0027927499289870095
2016-10-17,-0.008038715473434186
2016-10-18,0.012307027966880497
2016-10-19,0.008870254000797148
2016-10-20,0.02587977507686761
2016-10-21,0.0072355474981710575
2016-10-24,-0.0005468338776691121
2016-10-25,0.005812512397699801
2016-10-26,0.017890365781089965
2016-10-27,65.45473358059034
2016-10-28,-0.018486728713292384
2016-10-31,-0.02595154713245834
2016-11-01,0.03596390463005993
2016-11-02,-0.0028169156447460514
2016-11-03,-0.011080769277572664
2016-11-04,0.17464611005719702
2016-11-07,0.48894908389727826
2016-11-08,0.025107150430961307
2016-11-09,0.02984561610250561
2016-11-10,0.033409951436408986
2016-11-11,0.05556302570743949
2016-11-14,0.034445887763241784
2016-11-15,-0.0035897764677155896
